Accel_X,Accel_Y,Accel_Z,Fall_Indicator
-9.33,3.89,-3.99, 0
-8.12,4.96,-2.78, 0
-8.20,4.24,-3.52, 0
-8.72,2.39,-6.42, 0
-8.94,0.29,-7.03, 0
-8.78,0.39,-5.83, 0
-8.31,1.88,-4.18, 0
-8.74,2.58,-2.96, 0
-7.81,2.84,-3.02, 0
-7.13,3.04,-3.75, 0
-7.26,4.11,-4.61, 0
-7.78,5.08,-5.60, 0
-7.70,5.60,-5.33, 0
-7.88,5.39,-3.39, 0
-7.96,6.01,-2.74, 0
-8.48,6.92,-4.18, 0
-9.04,6.98,-5.30, 0
-9.21,6.65,-5.63, 0
-8.49,5.55,-4.85, 0
-7.68,4.86,-3.48, 0
-7.28,4.67,-2.35, 0
-7.02,4.98,-2.53, 0
